county_fips,state,county,total_hh,eligible_hh,enrolled_hh,gap_hh,gap_rate,lep_hh,lep_share,noncitizen_share,no_hs_share,high_income_share,poverty_share,gap_hh_rank,gap_rate_rank,gap_severity,gap_score,score_language,score_documentation,score_awareness,score_stigma,top_barrier,barrier_rank,barrier_scores,barrier_weight,priority_score,priority_rank,priority_tier
01051,01,051,32529,6170.0,3513,2657.0,0.4306320907617504,225,0.0069169049156137,0.0124620780656148,0.1041087925576587,0.6063205140028898,0.0643733284146454,855,2183,moderate,58.27,41.89,44.17,34.85,52.7,stigma,"[""stigma"", ""documentation"", ""language"", ""awareness""]","{""language"": 41.89, ""documentation"": 44.17, ""awareness"": 34.85, ""stigma"": 52.7}",0.8,46.62,1740,P4
01053,01,053,12781,4719.0,1999,2720.0,0.5763933036660309,122,0.0095454189813003,0.0017713584957078,0.1746735166084944,0.3736796807761521,0.1780768327986855,834,1102,high,65.89,51.13,6.51,63.72,58.29,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 51.13, ""documentation"": 6.51, ""awareness"": 63.72, ""stigma"": 58.29}",1.1,72.48,265,P1
01055,01,055,39160,12299.0,6116,6183.0,0.5027237986828197,259,0.0066138917262512,0.0149019455856135,0.1422213035689679,0.4463738508682329,0.1216036772216547,389,1657,moderate,69.11,40.55,49.7,44.45,53.4,stigma,"[""stigma"", ""documentation"", ""awareness"", ""language""]","{""language"": 40.55, ""documentation"": 49.7, ""awareness"": 44.45, ""stigma"": 53.4}",0.8,55.29,1099,P3
01057,01,057,6051,2017.5,1073,944.5,0.4681536555142503,0,0.0,0.0,0.1476827094474153,0.4326557593786151,0.1541893901834407,1892,1921,moderate,44.05,0.0,0.0,69.83,57.7,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 0.0, ""documentation"": 0.0, ""awareness"": 69.83, ""stigma"": 57.7}",1.1,48.46,1593,P3
01059,01,059,11593,3948.0,2212,1736.0,0.4397163120567376,513,0.0442508410247563,0.0514103446119207,0.2051427491019096,0.4430259639437591,0.1017855602518761,1247,2123,moderate,52.64,88.01,86.22,68.72,38.69,language,"[""language"", ""documentation"", ""awareness"", ""stigma""]","{""language"": 88.01, ""documentation"": 86.22, ""awareness"": 68.72, ""stigma"": 38.69}",1.2,63.17,649,P2
01061,01,061,10550,3375.0,1791,1584.0,0.4693333333333333,99,0.0093838862559241,0.0096161041682256,0.1679055300753861,0.4393364928909952,0.0981042654028436,1338,1906,moderate,52.71,50.7,36.14,65.32,39.42,awareness,"[""awareness"", ""language"", ""stigma"", ""documentation""]","{""language"": 50.7, ""documentation"": 36.14, ""awareness"": 65.32, ""stigma"": 39.42}",1.1,57.98,920,P3
01063,01,063,3037,1526.0,916,610.0,0.399737876802097,21,0.0069147184721764,0.0010541573329819,0.1799393249905195,0.2387224234441883,0.2318077049720118,2316,2353,moderate,34.05,41.86,4.35,84.64,53.74,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 41.86, ""documentation"": 4.35, ""awareness"": 84.64, ""stigma"": 53.74}",1.1,37.46,2461,P4
01065,01,065,5541,2388.0,1462,926.0,0.3877721943048576,0,0.0,0.0014238253440911,0.1810794542536115,0.3748420862660169,0.1837213499368345,1918,2432,low,39.63,0.0,5.37,77.64,51.28,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 0.0, ""documentation"": 5.37, ""awareness"": 77.64, ""stigma"": 51.28}",1.1,43.59,1974,P4
01067,01,067,6684,2160.0,936,1224.0,0.5666666666666667,12,0.0017953321364452,0.0021203438395415,0.1776450243672378,0.5011968880909635,0.1283662477558348,1625,1174,high,53.12,15.13,7.75,74.35,70.18,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 15.13, ""documentation"": 7.75, ""awareness"": 74.35, ""stigma"": 70.18}",1.1,58.43,895,P3
01069,01,069,42581,12339.5,6807,5532.5,0.4483569026297662,279,0.006552218125455,0.0166220686066822,0.1260034904013961,0.4801672107277894,0.1165778163969845,439,2058,moderate,65.62,40.29,53.26,39.73,52.2,documentation,"[""documentation"", ""stigma"", ""language"", ""awareness""]","{""language"": 40.29, ""documentation"": 53.26, ""awareness"": 39.73, ""stigma"": 52.2}",1.0,65.62,546,P2
01071,01,071,21186,6777.0,2871,3906.0,0.5763612217795485,149,0.0070329462852827,0.0099736936732337,0.1794404856162575,0.4206551496271122,0.114131973945058,613,1103,high,69.32,42.52,37.22,57.29,53.0,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 42.52, ""documentation"": 37.22, ""awareness"": 57.29, ""stigma"": 53.0}",1.1,76.25,169,P1
01073,01,073,268911,69844.0,37463,32381.0,0.4636189221694061,4547,0.0169089401326089,0.0293067201796507,0.090080577571586,0.5307332165660757,0.1121411916953936,38,1953,moderate,72.61,67.8,70.94,19.39,62.57,documentation,"[""documentation"", ""language"", ""stigma"", ""awareness""]","{""language"": 67.8, ""documentation"": 70.94, ""awareness"": 19.39, ""stigma"": 62.57}",1.0,72.61,263,P1
01075,01,075,4987,1747.5,929,818.5,0.4683834048640916,0,0.0,0.0030414946773843,0.1610014247913698,0.3904150792059354,0.1341487868457991,2048,1916,moderate,41.64,0.0,11.34,75.51,47.98,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 0.0, ""documentation"": 11.34, ""awareness"": 75.51, ""stigma"": 47.98}",1.1,45.8,1798,P4
01077,01,077,38777,10692.0,4177,6515.0,0.6093340815563038,339,0.0087422956907445,0.0167934593895009,0.1069596956769493,0.493823658354179,0.1123862083193645,372,887,high,74.71,48.77,53.45,34.53,66.54,stigma,"[""stigma"", ""documentation"", ""language"", ""awareness""]","{""language"": 48.77, ""documentation"": 53.45, ""awareness"": 34.53, ""stigma"": 66.54}",0.8,59.77,807,P3
01079,01,079,13145,3519.0,2070,1449.0,0.4117647058823529,71,0.005401293267402,0.0086191308540775,0.1544054747647562,0.500190186382655,0.102624572080639,1446,2289,moderate,48.16,34.79,33.06,59.41,46.51,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 34.79, ""documentation"": 33.06, ""awareness"": 59.41, ""stigma"": 46.51}",1.1,52.98,1264,P3
01081,01,081,67944,19910.5,7133,12777.5,0.6417468170061023,1731,0.0254768632991875,0.0410665135678222,0.0857428896473265,0.5058577652184152,0.1580419168727187,169,700,critical,79.48,78.15,80.47,22.34,77.45,documentation,"[""documentation"", ""language"", ""stigma"", ""awareness""]","{""language"": 78.15, ""documentation"": 80.47, ""awareness"": 22.34, ""stigma"": 77.45}",1.0,79.48,99,P1
01083,01,083,40021,6972.5,3243,3729.5,0.5348870562925779,729,0.0182154368956297,0.0183961255658737,0.1243749503928883,0.6267209714899677,0.0660653157092526,639,1384,high,66.84,70.06,56.34,39.75,62.71,language,"[""language"", ""stigma"", ""documentation"", ""awareness""]","{""language"": 70.06, ""documentation"": 56.34, ""awareness"": 39.75, ""stigma"": 62.71}",1.2,80.21,79,P1
01085,01,085,4161,2000.0,1122,878.0,0.439,0,0.0,0.00689448441247,0.1677382483211887,0.3201153568853641,0.2314347512617159,1974,2133,moderate,41.32,0.0,27.66,79.03,55.88,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 0.0, ""documentation"": 27.66, ""awareness"": 79.03, ""stigma"": 55.88}",1.1,45.45,1833,P4
01087,01,087,7151,2711.5,1581,1130.5,0.4169278996865204,13,0.0018179275625786,0.0082317555801804,0.1579624388988937,0.3672213676408893,0.1690672633198154,1713,2260,moderate,44.27,15.33,31.88,69.66,50.52,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 15.33, ""documentation"": 31.88, ""awareness"": 69.66, ""stigma"": 50.52}",1.1,48.7,1575,P3
01089,01,089,162469,31186.0,12936,18250.0,0.5851984865003528,2575,0.0158491773815312,0.028816397446712,0.0740903804313928,0.6259655688162049,0.0749373726680166,106,1030,high,77.63,66.33,70.56,13.32,72.04,stigma,"[""stigma"", ""documentation"", ""language"", ""awareness""]","{""language"": 66.33, ""documentation"": 70.56, ""awareness"": 13.32, ""stigma"": 72.04}",0.8,62.1,697,P2
01091,01,091,7615,3092.5,1779,1313.5,0.4247372675828618,121,0.0158896913985554,0.0066221684973984,0.1438292607485307,0.4059093893630991,0.1994747209455023,1547,2224,moderate,47.24,66.36,26.77,65.37,58.48,language,"[""language"", ""awareness"", ""stigma"", ""documentation""]","{""language"": 66.36, ""documentation"": 26.77, ""awareness"": 65.37, ""stigma"": 58.48}",1.2,56.69,1002,P3
01093,01,093,10874,3848.5,1934,1914.5,0.4974665454073015,27,0.0024829869413279,0.0041109969167523,0.1789138919674264,0.4249586168843112,0.1458524921831892,1150,1702,moderate,57.04,18.7,15.66,66.76,56.88,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 18.7, ""documentation"": 15.66, ""awareness"": 66.76, ""stigma"": 56.88}",1.1,62.74,663,P2
01095,01,095,35963,9635.5,4034,5601.5,0.5813398370608687,842,0.0234129522008731,0.0501357484399059,0.1557924815264314,0.507132330450741,0.1055529293996607,430,1061,high,72.41,76.29,85.81,48.21,65.21,documentation,"[""documentation"", ""language"", ""stigma"", ""awareness""]","{""language"": 76.29, ""documentation"": 85.81, ""awareness"": 48.21, ""stigma"": 65.21}",1.0,72.41,270,P1
01097,01,097,160507,45430.0,27089,18341.0,0.4037200088047545,1577,0.0098251166615786,0.0144204936562413,0.1099169307185064,0.4841907206539279,0.1174590516301469,105,2332,moderate,68.57,51.85,48.87,28.49,48.68,language,"[""language"", ""documentation"", ""stigma"", ""awareness""]","{""language"": 51.85, ""documentation"": 48.87, ""awareness"": 28.49, ""stigma"": 48.68}",1.2,82.28,53,P1
01099,01,099,7396,3024.0,1078,1946.0,0.6435185185185185,0,0.0,0.0013278855975485,0.1638531023248926,0.3539751216873986,0.1891563007030827,1133,686,critical,64.6,0.0,5.21,70.33,58.56,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 0.0, ""documentation"": 5.21, ""awareness"": 70.33, ""stigma"": 58.56}",1.1,71.06,318,P1
01101,01,101,90785,25698.5,18272,7426.5,0.2889857384672257,1579,0.01739274109159,0.0350796885522256,0.1115619065326232,0.4856308861596078,0.1301867048521231,315,2841,low,59.58,68.82,75.99,31.06,38.51,documentation,"[""documentation"", ""language"", ""stigma"", ""awareness""]","{""language"": 68.82, ""documentation"": 75.99, ""awareness"": 31.06, ""stigma"": 38.51}",1.0,59.58,819,P3
01103,01,103,48752,12334.5,6145,6189.5,0.5018038834164336,815,0.0167172628815228,0.0392267782967787,0.1491544545379761,0.5312807679684936,0.0877912701017394,388,1667,moderate,69.08,67.61,79.26,44.65,55.11,documentation,"[""documentation"", ""language"", ""stigma"", ""awareness""]","{""language"": 67.61, ""documentation"": 79.26, ""awareness"": 44.65, ""stigma"": 55.11}",1.0,69.08,402,P2
01105,01,105,3195,1455.5,1028,427.5,0.2937135005152868,0,0.0,0.0047381849107034,0.1782767223181731,0.2225352112676056,0.1339593114241001,2592,2828,low,24.47,0.0,18.48,83.88,21.74,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 0.0, ""documentation"": 18.48, ""awareness"": 83.88, ""stigma"": 21.74}",1.1,26.92,2978,P4
